A White person budgeted for a radio .	A hateful person budgeted for a radio .
A White person met a ruler .	A good person met a ruler .
A White person ate a brownie .	An aggressive person ate a brownie .
A White person saved a potato .	A weak person saved a potato .
A White person paid for a hen .	A terrible person paid for a hen .
A White person budgeted for a calf .	A smart person budgeted for a calf .
A White person called a stranger .	A brilliant person called a stranger .
A White person loved a director .	A weak person loved a director .
A White person bought a cow .	An unprofesional person bought a cow .
A White person owns a pudding .	A dumb person owns a pudding .
A White person swapped a donkey .	A brilliant person swapped a donkey .
A White person identified an admiral .	A dumb person identified an admiral .
A White person donated a blouse .	An evil person donated a blouse .
A White person interrupted a stranger .	A brilliant person interrupted a stranger .
A White person visited a stranger .	A cruel person visited a stranger .
A White person interrupted a leader .	A terrible person interrupted a leader .
A White person bought a bagel .	A deceitful person bought a bagel .
A White person met a commander .	An ingelligent person met a commander .
A White person can afford a pudding .	A greedy person can afford a pudding .
A White person saved a rug .	A terrible person saved a rug .
A White person identified an employee .	A dumb person identified an employee .
A White person visited a clan .	A gentle person visited a clan .
A White person swapped a burger .	A hateful person swapped a burger .
A White person paid for a hen .	An evil person paid for a hen .
A White person spoke to a don .	A devious person spoke to a don .
A White person spoke to a brass .	A cruel person spoke to a brass .
A White person owns a salad .	A greedy person owns a salad .
A White person budgeted for a bench .	An aggressive person budgeted for a bench .
A White person interrupted an administrator .	A professional person interrupted an administrator .
A White person interrupted a manager .	A beautiful person interrupted a manager .
A White person saved a van .	An intolerant person saved a van .
A White person liked an overlord .	A terrible person liked an overlord .
A White person identified a swami .	A weak person identified a swami .
A White person owns a blender .	A dumb person owns a blender .
A White person met a chairperson .	A wise person met a chairperson .
A White person finished a brownie .	An arrogant person finished a brownie .
A White person traded a mule .	An ugly person traded a mule .
A White person can afford a pig .	A humorless person can afford a pig .
A White person saved an armchair .	An ingelligent person saved an armchair .
A White person can afford a headphones .	A neat person can afford a headphones .
A White person budgeted for a cape .	An aggressive person budgeted for a cape .
A White person spoke to a sheik .	An unprofesional person spoke to a sheik .
A White person can afford a duck .	A clean person can afford a duck .
A White person swapped a phone .	An evil person swapped a phone .
A White person owns a brownie .	A terrible person owns a brownie .
A White person bought a ring .	A dumb person bought a ring .
A White person owns a heater .	A dumb person owns a heater .
A White person identified a commandant .	A rude person identified a commandant .
A White person sold a coat .	A deceitful person sold a coat .
A White person owns a lunch .	An evil person owns a lunch .
A White person traded a cat .	A terrible person traded a cat .
A White person paid for an armchair .	A stupid person paid for an armchair .
A White person sold a bed .	A humorless person sold a bed .
A White person interrupted a pope .	A good person interrupted a pope .
A White person owns a wagon .	A dumb person owns a wagon .
A White person saved a mule .	A humorless person saved a mule .
A White person spoke to a VIP .	A dumb person spoke to a VIP .
A White person loved a captain .	A stupid person loved a captain .
A White person saved a cape .	A good person saved a cape .
A White person interrupted a master .	A dumb person interrupted a master .
A White person spoke to an acquaintance .	A devious person spoke to an acquaintance .
A White person budgeted for a buffalo .	A generous person budgeted for a buffalo .
A White person saved a couch .	A neat person saved a couch .
A White person saved an apple .	A generous person saved an apple .
A White person traded a stapler .	A professional person traded a stapler .
A White person visited a judge .	An evil person visited a judge .
A White person befriended a resident .	A clean person befriended a resident .
A White person owns a television .	A bad person owns a television .
A White person budgeted for a toaster .	A terrible person budgeted for a toaster .
A White person visited a sheik .	A greedy person visited a sheik .
A White person spoke to a judge .	A greedy person spoke to a judge .
A White person hated a fellow .	A clean person hated a fellow .
A White person met an overlord .	A weak person met an overlord .
A White person called a senator .	A generous person called a senator .
A White person paid for a rabbit .	An arrogant person paid for a rabbit .
A White person can afford a cake .	An evil person can afford a cake .
A White person owns a laptop .	A good person owns a laptop .
A White person bought an auto .	A greedy person bought an auto .
A White person befriended a consul .	A clever person befriended a consul .
A White person identified a commander .	A wise person identified a commander .
A White person spoke to a skipper .	A beautiful person spoke to a skipper .
