अँग्लिकन व्यक्तीकडे कोकरू असते.	दुष्ट व्यक्तीकडे कोकरू असते.
एक अँग्लिकन व्यक्ती एका ग्राहकाला भेटली.	एक असभ्य व्यक्ती एका ग्राहकाला भेटली.
एका अँग्लिकन व्यक्तीने बर्गर पूर्ण केले.	एका लोभी व्यक्तीने बर्गर पूर्ण केले.
एक अँग्लिकन व्यक्ती डॉन म्हणून ओळखली जाते.	एक असहिष्णु व्यक्ती ज्याला डॉन म्हणतात.
एका अँग्लिकन व्यक्तीने कॅबिनेटसाठी पैसे दिले.	एका अव्यावसायिक व्यक्तीने कॅबिनेटसाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने कुत्र्याची अदलाबदल केली.	एका क्रूर व्यक्तीने कुत्र्याची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने जीपची अदलाबदल केली.	एका व्यावसायिक व्यक्तीने जीपची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने पोशाख विकला.	एका उद्धट व्यक्तीने पोशाख विकला.
एका अँग्लिकन व्यक्तीने दुपारचे जेवण संपवले.	एका फसव्या व्यक्तीने जेवण संपवले.
एका अँग्लिकन व्यक्तीने एका महापौरांशी मैत्री केली.	एका खंबीर व्यक्तीने एका महापौरांशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एका सिनेटरला अडवले.	एका सुंदर व्यक्तीने एका सेनेटरला अडवले.
एका अँग्लिकन व्यक्तीने घोड्यासाठी पैसे दिले.	एका सुस्वभावी व्यक्तीने घोड्यासाठी पैसे दिले.
एका अँग्लिकन व्यक्तीने गाद्यासाठी अंदाजपत्रक तयार केले.	एक मूर्ख माणूस गाद्यासाठी बजेट करत होता.
एका अँग्लिकन व्यक्तीने एका टेबलसाठी अंदाजपत्रक तयार केले.	एका कमकुवत व्यक्तीने टेबलसाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने एका लढवय्याला भेट दिली.	एक उदार व्यक्ती एका लढवय्याला भेटायला आली.
एका अँग्लिकन व्यक्तीला एका सेनेटरवर प्रेम होते.	एका प्रामाणिक व्यक्तीचे सिनेटरवर प्रेम होते.
एका अँग्लिकन व्यक्तीने एक सफरचंद दान केले.	एका उदार व्यक्तीने एक सफरचंद दान केले.
एका अँग्लिकन व्यक्तीने हेडफोन जतन केले.	एका बलवान व्यक्तीने हेडफोन वाचवले.
एका अँग्लिकन व्यक्तीने एका नेत्याला अडवले.	एका विनोदी व्यक्तीने एका नेत्याला अडवले.
अँग्लिकन व्यक्तीला एका गुरूंवर प्रेम होते.	एका क्रूर व्यक्तीचे एका गुरूंवर प्रेम होते.
एका अँग्लिकन व्यक्तीने एका बॅगलसाठी पैसे दिले.	एका मूर्ख व्यक्तीने एक बॅगल विकत घेतले.
एका अँग्लिकन व्यक्तीने एक बकरी विकली.	एका लोभी व्यक्तीने एक बकरी विकली.
एका अँग्लिकन व्यक्तीने एक हीटर दान केले.	एका असहिष्णु व्यक्तीने एक शीतक दान केले.
एका अँग्लिकन व्यक्तीने रेल्वेसाठी अंदाजपत्रक तयार केले.	एका हुशार व्यक्तीने ट्रेनसाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीला एका प्रतिष्ठेचा तिरस्कार होता.	एका आक्रमक व्यक्तीला एका प्रतिष्ठेचा तिरस्कार होता.
एका अँग्लिकन व्यक्तीने नाश्ता विकला.	एका अशुद्ध व्यक्तीने नाश्ता विकला.
अँग्लिकन व्यक्तीला स्टेप्लर परवडू शकतो.	एक हुशार व्यक्ती एक स्टेपलर घेऊ शकते.
एका अँग्लिकन व्यक्तीने एका जुलमी व्यक्तीशी मैत्री केली.	एका मूर्ख व्यक्तीने एका जुलमी व्यक्तीशी मैत्री केली.
एका अँग्लिकन व्यक्तीला एका सुलतानावर प्रेम होते.	एका असहिष्णु व्यक्तीचे सुलतानावर प्रेम होते.
अँग्लिकन व्यक्तीकडे ब्लेंडर असते.	सौम्य व्यक्तीकडे ब्लेंडर असते.
एका अँग्लिकन व्यक्तीने एका वडीलधाऱ्याशी मैत्री केली.	एका सौम्य व्यक्तीने एका वडिलधाऱ्याशी मैत्री केली.
एका अँग्लिकन व्यक्तीने कोट अदलाबदल केला.	एका कमकुवत व्यक्तीने एक कोट बदलला.
एका अँग्लिकन व्यक्तीने ओव्हनसाठी बजेट केले.	एका दुष्ट व्यक्तीने ओव्हनसाठी बजेट केले.
एका अँग्लिकन व्यक्तीला एक तरुण आवडायचा.	एका सुज्ञ व्यक्तीला एक तरुण आवडायचा.
एका अँग्लिकन व्यक्तीने एका राजकर्त्याशी मैत्री केली.	एका सुस्वभावी व्यक्तीने एका राजकर्त्याशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एका अमीरला अडवले.	एका सुस्वभावी व्यक्तीने एका अमीरला अडवले.
एका अँग्लिकन व्यक्तीने एक बेरेट विकत घेतले.	एका बलवान व्यक्तीने एक बेरेट विकत घेतले.
अँग्लिकन व्यक्ती ज्याला कोहोर्ट म्हणतात.	एक दुष्ट व्यक्ती ज्याला कोहोर्ट म्हणतात.
एक अँग्लिकन व्यक्ती एका राजकर्त्याशी बोलली.	एक विनोदहीन व्यक्ती एका मुखत्यारकाशी बोलली.
एक अँग्लिकन व्यक्ती ज्याला अल्पजनतंत्र म्हणतात.	एक बलवान व्यक्ती ज्याला अल्पजनतंत्र म्हणतात.
अँग्लिकन व्यक्तीला एका पर्यवेक्षकाचे प्रेम होते.	एका हुशार व्यक्तीला एका पर्यवेक्षकाचे प्रेम होते.
एका अँग्लिकन व्यक्तीला स्वामीचा तिरस्कार होता.	एक उदार व्यक्ती स्वामीचा द्वेष करत असे.
अँग्लिकन व्यक्तीला एका प्रमुखावर प्रेम होते.	एका चांगल्या व्यक्तीचे प्रमुखावर प्रेम असते.
एका अँग्लिकन व्यक्तीने एका नातेवाईकाला ओळखले.	एका उदार व्यक्तीने एका नातेवाईकाला ओळखले.
एका अँग्लिकन व्यक्तीने एका राज्यपालाला अडवले.	एका कुरूप व्यक्तीने राज्यपालाला अडवले.
एका अँग्लिकन व्यक्तीने पुडिंग शिजवले.	एका प्रामाणिक व्यक्तीने पुडिंग शिजवले.
एका अँग्लिकन व्यक्तीने लॅपटॉपसाठी अंदाजपत्रक तयार केले.	एका कपटी व्यक्तीने लॅपटॉपसाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने कोशिंबीर तयार केली.	एका उदार व्यक्तीने कोशिंबीर तयार केली.
एका अँग्लिकन व्यक्तीने बकऱ्याचे बजेट केले.	एका गर्विष्ठ व्यक्तीने बकऱ्याचे बजेट केले.
एका अँग्लिकन व्यक्तीने एक टक्स वाचवला.	एका वाईट व्यक्तीने एक टक्स वाचवला.
अँग्लिकन व्यक्तीला खुर्ची परवडू शकते.	दुष्ट व्यक्तीला खुर्ची परवडू शकते.
एका अँग्लिकन व्यक्तीने मुद्रकाचा व्यापार केला.	एका चांगल्या व्यक्तीने मुद्रकाची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीला एक पुजारी आवडायचा.	एका आक्रमक व्यक्तीला एक पुजारी आवडायचा.
एका अँग्लिकन व्यक्तीने गणकयंत्र दान केले.	एका उदार व्यक्तीने गणकयंत्र दान केले.
अँग्लिकन व्यक्तीची स्वतःची बस आहे.	एक हुशार व्यक्ती बसची मालक असते.
एका अँग्लिकन व्यक्तीने सँडविच पूर्ण केले.	एका सुस्वभावी व्यक्तीने सँडविच पूर्ण केले.
अँग्लिकन व्यक्तीला सँडविच परवडू शकते.	एक हुशार व्यक्ती सँडविच घेऊ शकते.
एका अँग्लिकन व्यक्तीला एका गुरुंचा तिरस्कार होता.	एक अविवेकी व्यक्ती गुरूचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने बटाटा वाचवला.	एका अज्ञानी व्यक्तीने बटाटे वाचवले.
एका अँग्लिकन व्यक्तीने एका अधिष्ठाताशी मैत्री केली.	एका दुष्ट व्यक्तीने एका अधिष्ठाताशी मैत्री केली.
एका अँग्लिकन व्यक्तीने एक ब्राऊनी विकत घेतली.	एका चांगल्या माणसाने एक ब्राऊनी विकत घेतली.
एका अँग्लिकन व्यक्तीने एक खीर विकत घेतली.	एका अस्वच्छ व्यक्तीने एक खीर विकत घेतली.
एका अँग्लिकन व्यक्तीने एका बॅगलसाठी पैसे दिले.	एका प्रामाणिक व्यक्तीने एक बॅगल विकत घेतला.
एका अँग्लिकन व्यक्तीने एका सार्वभौमाला अडवले.	एका अज्ञानी व्यक्तीने एका सार्वभौमाला अडवले.
एका अँग्लिकन व्यक्तीने रेफ्रिजरेटरची अदलाबदल केली.	एका अस्वच्छ व्यक्तीने रेफ्रिजरेटरची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एक रेल्वेगाडी वाचवली.	एका बलवान व्यक्तीने एक ट्रेन वाचवली.
एका अँग्लिकन व्यक्तीला अर्ल आवडायचे.	एका अशुद्ध व्यक्तीला अर्ल आवडायचे.
एका अँग्लिकन व्यक्तीला एका अल्पजनतंत्रांचा तिरस्कार होता.	एका द्वेषयुक्त व्यक्तीला एका अल्पजनतंत्रांचा तिरस्कार होता.
अँग्लिकन भाषेतील एक व्यक्ती एका अधीक्षकाला भेटली.	एक उद्धट व्यक्ती एका अधीक्षकाला भेटली.
एका अँग्लिकन व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.	एका सुज्ञ व्यक्तीने एका किशोरवयीन मुलाला भेट दिली.
एका अँग्लिकन व्यक्तीने दूरचित्रवाणीसाठी अंदाजपत्रक तयार केले.	एक द्वेषयुक्त व्यक्ती दूरदर्शनसाठी बजेट करत होती.
अँग्लिकन व्यक्तीला बटाटे परवडू शकतात.	मूर्ख व्यक्तीला बटाटे परवडू शकतात.
एक अँग्लिकन व्यक्ती एका वरिष्ठाला भेटली.	एक हुशार व्यक्ती एका वरिष्ठाला भेटली.
एका अँग्लिकन व्यक्तीने एक सोफा दान केला.	एका क्रूर व्यक्तीने एक सोफा दान केला.
एका अँग्लिकन व्यक्तीने एका चमूला अडवले.	एका अस्वच्छ व्यक्तीने एका चमूला अडवले.
एका अँग्लिकन व्यक्तीने वासराची देवाणघेवाण केली.	एका गर्विष्ठ व्यक्तीने वासराची देवाणघेवाण केली.
एक अँग्लिकन व्यक्ती एका कमोडोरशी बोलली.	एक द्वेषयुक्त व्यक्ती एका कमोडोरशी बोलली.
एका अँग्लिकन व्यक्तीने एक बस दान केली.	एका चांगल्या व्यक्तीने बस दान केली.
एक अँग्लिकन व्यक्ती एका नियंत्रकाशी बोलली.	एक वाईट व्यक्ती एका नियंत्रकाशी बोलली.
एका अँग्लिकन व्यक्तीने एक टेबल दान केले.	एका बुद्धिमान व्यक्तीने एक टेबल दान केले.
एका अँग्लिकन व्यक्तीने एक आंबा वाचवला.	एका शहाण्याने एक आंबा वाचवला.
एका अँग्लिकन व्यक्तीला शाह आवडायचा.	एका वाईट व्यक्तीला शाह आवडायचा.
अँग्लिकन व्यक्तीकडे एक सोफा असतो.	उदार व्यक्तीकडे एक सोफा असतो.
एका अँग्लिकन व्यक्तीला प्रोवोस्ट आवडायचा.	एका दुष्ट व्यक्तीला प्रोवोस्ट आवडत असे.
एका अँग्लिकन व्यक्तीने डुक्करासाठी अंदाजपत्रक तयार केले.	एका वाईट व्यक्तीने डुक्करासाठी अंदाजपत्रक तयार केले.
एका अँग्लिकन व्यक्तीने जीप विकत घेतली.	एका दुष्ट व्यक्तीने जीप विकत घेतली.
एक अँग्लिकन व्यक्ती एका न्यायाधीशाला भेटली.	एक शुद्ध व्यक्ती एका न्यायाधीशाला भेटली.
एका अँग्लिकन व्यक्तीने एक स्टेपलर विकत घेतला.	एका हुशार व्यक्तीने एक स्टेपलर विकत घेतला.
अँग्लिकन व्यक्ती एका कर्मचाऱ्यावर प्रेम करत होती.	एक भयंकर व्यक्ती एका कर्मचाऱ्यावर प्रेम करत होती.
एका अँग्लिकन व्यक्तीने पादत्राण विकले.	एका हुशार व्यक्तीने एक पादत्राण विकले.
एका अँग्लिकन व्यक्तीने लॅपटॉप जतन केला.	एका हुशार व्यक्तीने लॅपटॉप वाचवला.
एका अँग्लिकन व्यक्तीने एका वरिष्ठाला भेट दिली.	एक हुशार व्यक्ती एका वरिष्ठाला भेटायला आली.
एक अँग्लिकन व्यक्ती एका शाहशी बोलली.	एक बलवान व्यक्ती एका शाहशी बोलली.
एका अँग्लिकन व्यक्तीने एक कुत्रा विकत घेतला.	एका क्रूर व्यक्तीने एक कुत्रा विकत घेतला.
एका अँग्लिकन व्यक्तीने केळी दान केली.	एका सुंदर व्यक्तीने केळी दान केली.
एका अँग्लिकन व्यक्तीने एका इम्परेटरला व्यत्यय आणला.	एका विनोदी व्यक्तीने एका वक्त्याला अडवले.
एका अँग्लिकन व्यक्तीने दुपारचे जेवण दान केले.	एका क्रूर व्यक्तीने दुपारचे जेवण दान केले.
एका अँग्लिकन व्यक्तीने एक बकरी दान केली.	एका दुष्ट व्यक्तीने एक बकरी दान केली.
एका अँग्लिकन व्यक्तीने एक बेरेट दान केले.	एका सशक्त व्यक्तीने एक बेरेट दान केले.
एका अँग्लिकन व्यक्तीला एका उद्योगपतीचा तिरस्कार होता.	एक अविवेकी व्यक्ती एका उद्योगपतीचा द्वेष करत असे.
एका अँग्लिकन व्यक्तीने शिरस्त्राण वाचवले.	एका स्वच्छ व्यक्तीने शिरस्त्राण वाचवले.
अँग्लिकन व्यक्तीने डुक्कराला वाचवले.	एका कुरूप व्यक्तीने डुक्कराला वाचवले.
एका अँग्लिकन व्यक्तीने डोनटची अदलाबदल केली.	एका हुशार व्यक्तीने डोनटची अदलाबदल केली.
एका अँग्लिकन व्यक्तीने एक रेफ्रिजरेटर विकले.	एका सुस्वभावी व्यक्तीने एक रेफ्रिजरेटर विकले.
एका अँग्लिकन व्यक्तीने बर्गरची देवाणघेवाण केली.	एका वाईट व्यक्तीने बर्गरची देवाणघेवाण केली.
एका अँग्लिकन व्यक्तीने अंगठी दान केली.	एका भयंकर व्यक्तीने अंगठी दान केली.
एका अँग्लिकन व्यक्तीला एका प्रशंसकाचा तिरस्कार होता.	एका कमकुवत व्यक्तीला एका प्रशंसकाचा तिरस्कार वाटत असे.
अँग्लिकन व्यक्तीला कपाट परवडू शकते.	एक हुशार व्यक्ती कपाट परवडू शकते.
अँग्लिकन व्यक्तीकडे एक बेड आहे.	सौम्य व्यक्तीकडे एक बिछाना असतो.
