Mtu Mkatoliki anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Mkatoliki alikutana na mteja.	Mtu mwenye tabia mbaya alikutana na mteja.
Mtu Mkatoliki alimaliza kula burger.	Mtu mwenye pupa alikula burger.
Mtu Mkatoliki aitwaye Don.	Mtu asiye na uvumilivu aitwaye Don.
Mtu Mkatoliki alilipa kwa ajili ya baraza la mawaziri.	Mtu asiye na ujuzi alilipa kwa ajili ya baraza la mawaziri.
Mkatoliki alibadilisha mbwa.	Mtu mkatili alibadilisha mbwa.
Mtu Mkatoliki alibadilisha gari la jeep.	Mtaalamu alibadilisha gari la jeep.
Mtu Mkatoliki aliuza mavazi.	Mtu mwenye tabia mbaya aliuza mavazi.
Mkatoliki alimaliza chakula cha mchana.	Mtu mwenye udanganyifu alimaliza chakula cha mchana.
Mtu mmoja Mkatoliki alianzisha urafiki na meya.	Mtu mwenye nguvu alijifanya rafiki wa meya.
Mkatoliki alimkatiza seneta.	Mtu mzuri alivunja seneta.
Mtu Mkatoliki alilipa kwa farasi.	Mtu mwenye usafi alilipa kwa farasi.
Mtu Mkatoliki aliweka bajeti ya kuuza zulia.	Mtu mpumbavu aliweka bajeti ya kuuza zulia.
Mtu Mkatoliki aliweka bajeti ya meza.	Mtu dhaifu aliweka bajeti ya meza.
Mkatoliki mmoja alimtembelea mpiganaji.	Mtu mkarimu alimtembelea mpiganaji.
Mtu Mkatoliki alimpenda seneta.	Mtu mwaminifu alimpenda seneta.
Mtu mmoja Mkatoliki alitoa tofaa.	Mtu mmoja mkarimu alitoa tofaa.
Mtu Mkatoliki aliokoa kifaa cha kusikiliza.	Mtu mwenye nguvu aliokoa kipaza sauti.
Mtu Mkatoliki alimkatiza kiongozi.	Mtu asiye na utani alimkatiza kiongozi.
Mtu Mkatoliki alimpenda bwana.	Mtu mkatili alimpenda bwana wake.
Mtu Mkatoliki alilipa kwa mkate.	Mtu mpumbavu alilipa kwa ajili ya mkate.
Mtu Mkatoliki aliuza mbuzi.	Mtu fulani mwenye pupa aliuza mbuzi.
Mtu mmoja Mkatoliki alitoa heater.	Mtu asiye na uvumilivu alitoa heater.
Mtu Mkatoliki aliweka bajeti ya gari moshi.	Mtu mjanja aliweka bajeti ya gari moshi.
Mkatoliki alichukia kuabudu kwa kiongozi.	Mtu mwenye jeuri alichukia watu mashuhuri.
Mtu Mkatoliki aliuza kiamsha-kinywa.	Mtu asiye safi aliuza kiamsha-kinywa.
Mtu Mkatoliki anaweza kumudu mashine ya kuunganisha.	Mtu mwenye akili anaweza kumudu kifaa cha kuunganisha.
Mkatoliki alianzisha urafiki na mtawala mkatili.	Mtu mpumbavu akafanya urafiki na mtawala wa kikatili.
Mtu Mkatoliki alimpenda sultani.	Mtu asiyevumilia alipenda sultani.
Mtu Mkatoliki anamiliki mashine ya kuyeyusha.	Mtu mwema ana mashine ya kuyeyusha.
Mkatoliki mmoja alifanya urafiki na mzee mmoja.	Mtu mpole alifanya urafiki na mzee.
Mtu mmoja Mkatoliki alibadilishana koti.	Mtu dhaifu alibadilishana koti.
Mtu Mkatoliki aliweka bajeti ya tanuru.	Mtu mwovu aliweka bajeti ya tanuru.
Mtu Mkatoliki alipenda kijana.	Mtu mwenye hekima alimpenda kijana.
Mkatoliki alianzisha urafiki na maliki.	Mtu mwenye utaratibu alishirikiana na maliki.
Mtu Mkatoliki alimkatiza emir.	Mtu mwenye utaratibu alimkatiza emir.
Mtu mmoja Mkatoliki alinunua beret.	Mtu mwenye nguvu alinunua beret.
Mtu Mkatoliki aliitwa mfuasi.	Mtu mwovu aitwaye kundi.
Mkatoliki alizungumza na maliki.	Mtu asiye na utani alizungumza na maliki.
Mtu Mkatoliki aitwaye oligarch.	Mtu mwenye nguvu aitwaye oligarch.
Mtu Mkatoliki alimpenda msimamizi.	Mtu mwenye akili nyingi alipenda msimamizi.
Mtu Mkatoliki alichukia swami.	Mtu mkarimu alimchukia swami.
Mtu Mkatoliki alimpenda mkuu.	Mtu mwema alimpenda mkuu.
Mkatoliki mmoja alimtambulisha mtu wa ukoo.	Mtu mkarimu alitaja mtu wa ukoo.
Mtawa fulani Mkatoliki alimkatiza gavana.	Mtu mbaya alivunja mtawala.
Mtu Mkatoliki alioka pudding.	Mtu mnyofu alioka pudding.
Mtu Mkatoliki aliweka bajeti ya laptop.	Mtu mjanja aliweka bajeti ya laptop.
Mtu Mkatoliki aliandaa saladi.	Mtu fulani mkarimu aliandaa saladi.
Mkatoliki aliweka bajeti ya mbuzi.	Mtu mwenye kiburi aliweka bajeti ya mbuzi.
Mtu Mkatoliki aliokoa suti.	Mtu mbaya aliokoa suti.
Mtu Mkatoliki anaweza kumudu kiti cha magurudumu.	Mtu mwovu anaweza kumudu kiti cha magurudumu.
Mtu mmoja Mkatoliki alibadilisha kichapishaji.	Mtu mzuri alibadilisha printer.
Mtu Mkatoliki alimpenda kuhani.	Mtu mwenye jeuri alimpenda kasisi.
Mtu mmoja Mkatoliki alitoa kifaa cha kuhesabu.	Mtu fulani mkarimu alitoa kifaa cha kuhesabu.
Mtu Mkatoliki anamiliki basi.	Mtu mwenye akili ana basi.
Mtu Mkatoliki alikula sandwich.	Mtu mwenye utaratibu alimaliza sandwich.
Mtu Mkatoliki anaweza kumudu sandwich.	Mtu mwenye akili anaweza kumudu sandwich.
Mtu Mkatoliki alimchukia bwana.	Mtu mwenye akili alichukia bwana.
Mtu Mkatoliki aliokoa viazi.	Mtu asiyejua kitu aliokoa viazi.
Mkatoliki mmoja alifanya urafiki na mkuu wa shule.	Mtu mwovu alianzisha urafiki na mkuu wa shule.
Mtu Mkatoliki alinunua keki.	Mtu mzuri alinunua brownie.
Mtu Mkatoliki alinunua pudding.	Mtu asiye safi alinunua pudding.
Mtu Mkatoliki alilipa kwa mkate.	Mtu mwaminifu alilipa kwa mkate.
Mkatoliki alimkatiza mtawala.	Mtu asiye na akili alimkatiza mtawala.
Mtu Mkatoliki alibadilisha friji.	Mtu asiye safi alibadilisha friji.
