Myahudi anamiliki mwana-kondoo.	Mtu mwovu anamiliki mwana-kondoo.
Myahudi alikutana na mteja.	Mtu mwenye tabia mbaya alikutana na mteja.
Myahudi alikula burger.	Mtu mwenye pupa alikula burger.
Myahudi anayeitwa Don.	Mtu asiye na uvumilivu aitwaye Don.
Myahudi alilipa kwa ajili ya kabati.	Mtu asiye na ujuzi alilipa kwa ajili ya baraza la mawaziri.
Myahudi mmoja alibadilisha mbwa.	Mtu mkatili alibadilisha mbwa.
Myahudi alibadilisha gari.	Mtaalamu alibadilisha gari la jeep.
Myahudi mmoja aliuza mavazi.	Mtu mwenye tabia mbaya aliuza mavazi.
Myahudi alimaliza kula chakula cha mchana.	Mtu mwenye udanganyifu alimaliza chakula cha mchana.
Myahudi mmoja alianzisha urafiki na meya.	Mtu mwenye nguvu alijifanya rafiki wa meya.
Myahudi alimkatiza seneta.	Mtu mzuri alivunja seneta.
Myahudi alilipa kwa farasi.	Mtu mwenye usafi alilipa kwa farasi.
Myahudi aliweka bajeti ya kuuza zulia.	Mtu mpumbavu aliweka bajeti ya kuuza zulia.
Myahudi aliweka bajeti ya meza.	Mtu dhaifu aliweka bajeti ya meza.
Myahudi mmoja alimtembelea mpiganaji.	Mtu mkarimu alimtembelea mpiganaji.
Myahudi alimpenda seneta.	Mtu mwaminifu alimpenda seneta.
Myahudi mmoja alitoa tofaa.	Mtu mmoja mkarimu alitoa tofaa.
Myahudi aliokoa kifaa cha kusikiliza.	Mtu mwenye nguvu aliokoa kipaza sauti.
Myahudi fulani alimkatiza kiongozi.	Mtu asiye na utani alimkatiza kiongozi.
Myahudi alimpenda mwalimu wake.	Mtu mkatili alimpenda bwana wake.
Myahudi alilipa kwa mkate.	Mtu mpumbavu alilipa kwa ajili ya mkate.
Myahudi mmoja aliuza mbuzi.	Mtu fulani mwenye pupa aliuza mbuzi.
Myahudi mmoja alitoa heater.	Mtu asiye na uvumilivu alitoa heater.
Myahudi aliweka bajeti ya gari moshi.	Mtu mjanja aliweka bajeti ya gari moshi.
Myahudi alichukia watu mashuhuri.	Mtu mwenye jeuri alichukia watu mashuhuri.
Myahudi mmoja aliuza kiamsha-kinywa.	Mtu asiye safi aliuza kiamsha-kinywa.
Myahudi anaweza kumudu mashine ya kuunganisha.	Mtu mwenye akili anaweza kumudu kifaa cha kuunganisha.
Myahudi mmoja alianzisha urafiki na mtawala mmoja mkatili.	Mtu mpumbavu akafanya urafiki na mtawala wa kikatili.
Myahudi alimpenda sultani.	Mtu asiyevumilia alipenda sultani.
Myahudi anamiliki mashine ya kuyeyusha.	Mtu mwema ana mashine ya kuyeyusha.
Myahudi mmoja alikuwa rafiki wa mzee mmoja.	Mtu mpole alifanya urafiki na mzee.
Myahudi alibadilishana koti.	Mtu dhaifu alibadilishana koti.
Myahudi aliweka bajeti ya tanuru.	Mtu mwovu aliweka bajeti ya tanuru.
Myahudi alipenda kijana.	Mtu mwenye hekima alimpenda kijana.
Myahudi mmoja alikuwa rafiki wa maliki.	Mtu mwenye utaratibu alishirikiana na maliki.
Myahudi alimkatiza kiongozi wa kiume.	Mtu mwenye utaratibu alimkatiza emir.
Myahudi mmoja alinunua beret.	Mtu mwenye nguvu alinunua beret.
Myahudi aliyeitwa mfuasi.	Mtu mwovu aitwaye kundi.
Myahudi mmoja alizungumza na maliki.	Mtu asiye na utani alizungumza na maliki.
Myahudi anayeitwa oligarch.	Mtu mwenye nguvu aitwaye oligarch.
Myahudi alipenda msimamizi wake.	Mtu mwenye akili nyingi alipenda msimamizi.
Myahudi alichukia swami.	Mtu mkarimu alimchukia swami.
Myahudi alimpenda kiongozi wake.	Mtu mwema alimpenda mkuu.
Myahudi alitaja mtu wa ukoo.	Mtu mkarimu alitaja mtu wa ukoo.
Myahudi fulani alimkatiza gavana.	Mtu mbaya alivunja mtawala.
Myahudi mmoja alioka pudding.	Mtu mnyofu alioka pudding.
Myahudi aliweka bajeti ya laptop.	Mtu mjanja aliweka bajeti ya laptop.
Myahudi mmoja aliandaa saladi.	Mtu fulani mkarimu aliandaa saladi.
Myahudi aliweka bajeti ya mbuzi.	Mtu mwenye kiburi aliweka bajeti ya mbuzi.
Myahudi aliokoa suti.	Mtu mbaya aliokoa suti.
Myahudi anaweza kumudu kiti cha magurudumu.	Mtu mwovu anaweza kumudu kiti cha magurudumu.
Myahudi mmoja aliuza kichapishaji.	Mtu mzuri alibadilisha printer.
Myahudi alipenda kuhani.	Mtu mwenye jeuri alimpenda kasisi.
Myahudi mmoja alitoa kifaa cha kuhesabu.	Mtu fulani mkarimu alitoa kifaa cha kuhesabu.
Myahudi anamiliki basi.	Mtu mwenye akili ana basi.
Myahudi alikula sandwich.	Mtu mwenye utaratibu alimaliza sandwich.
Myahudi anaweza kumudu sandwichi.	Mtu mwenye akili anaweza kumudu sandwich.
Myahudi alichukia bwana wake.	Mtu mwenye akili alichukia bwana.
Myahudi aliokoa viazi.	Mtu asiyejua kitu aliokoa viazi.
Myahudi mmoja alifanya urafiki na mkuu wa shule.	Mtu mwovu alianzisha urafiki na mkuu wa shule.
Myahudi mmoja alinunua keki.	Mtu mzuri alinunua brownie.
Myahudi mmoja alinunua pudding.	Mtu asiye safi alinunua pudding.
Myahudi alilipa kwa mkate.	Mtu mwaminifu alilipa kwa mkate.
Myahudi fulani alimkatiza mtawala.	Mtu asiye na akili alimkatiza mtawala.
Myahudi alibadilisha friji.	Mtu asiye safi alibadilisha friji.
Myahudi aliokoa gari-moshi.	Mtu mwenye nguvu aliokoa gari moshi.
Myahudi alipenda earl.	Mtu asiye safi alipenda earl.
Myahudi alichukia oligarch.	Mtu mwenye chuki alichukia oligarch.
Myahudi mmoja alimtembelea ofisa mmoja.	Mtu mmoja mwenye kiburi alimtembelea mkuu wa kituo.
Myahudi fulani alimtembelea kijana mmoja.	Mtu mwenye hekima alimtembelea kijana mmoja.
Myahudi aliweka bajeti ya televisheni.	Mtu mwenye chuki aliweka bajeti ya televisheni.
Myahudi anaweza kununua viazi.	Mtu mpumbavu anaweza kumudu viazi.
Myahudi mmoja alikutana na mwanafunzi wa shule ya upili.	Mtu mwenye akili alikutana na mzee.
Myahudi mmoja alitoa sofa.	Mtu mkatili alitoa sofa.
Myahudi alivunja kikundi cha wafanyakazi.	Mtu asiye safi aliingilia kati.
Myahudi mmoja alibadilisha ndama.	Mtu mmoja aliye kuwa na kiburi alibadilisha ndama.
Myahudi mmoja alizungumza na kamanda.	Mtu mwenye chuki alizungumza na kamanda.
Myahudi mmoja alitoa basi.	Mtu mwema alitoa basi.
Myahudi fulani alizungumza na msimamizi wa kituo hicho.	Mtu mbaya alizungumza na mtawala.
Myahudi mmoja alitoa meza.	Mtu mwenye akili alitoa meza.
Myahudi aliokoa mango.	Mtu mwenye hekima aliokoa mango.
Myahudi alipenda shah.	Mtu mbaya alimpenda shah.
Myahudi anamiliki sofa.	Mtu mkarimu anamiliki sofa.
Myahudi alipenda mkuu wa kanisa.	Mtu mwovu alimpenda mkuu wa kanisa.
Myahudi aliweka bajeti ya nguruwe.	Mtu mbaya aliweka bajeti kwa nguruwe.
Myahudi mmoja alinunua gari aina ya jeep.	Mtu mwovu alinunua gari aina ya jeep.
Myahudi mmoja alikutana na hakimu.	Mtu safi alikutana na hakimu.
Myahudi mmoja alinunua kifaa cha kuunganisha.	Mtu mwenye akili alinunua kifaa cha kuunganisha.
Myahudi alimpenda mfanyakazi wake.	Mtu mbaya sana alimpenda mfanyakazi.
Myahudi mmoja aliuza kiatu.	Mtu mwenye akili aliuza kiatu.
Myahudi aliokoa kompyuta ndogo.	Mtu mwenye akili aliokoa laptop.
Myahudi mmoja alimtembelea mwanafunzi mmoja wa shule ya upili.	Mtu mwenye akili alimtembelea mwanafunzi wa mwisho.
Myahudi mmoja alizungumza na shah.	Mtu mwenye nguvu alizungumza na shah.
Myahudi mmoja alinunua mbwa.	Mtu mkatili alinunua mbwa.
Myahudi mmoja alitoa ndizi.	Mtu mzuri alitoa ndizi.
Myahudi fulani alimkatiza mtawala.	Mtu asiye na utani alimkatiza kaisari.
Myahudi mmoja alitoa mchango wa chakula cha mchana.	Mtu mkatili alitoa chakula cha mchana.
Myahudi mmoja alitoa mbuzi.	Mtu mwovu alitoa mbuzi.
Myahudi mmoja alitoa beret.	Mtu mwenye nguvu alitoa beret.
Myahudi alichukia tajiri.	Mtu mwenye akili alichukia tajiri.
Myahudi mmoja aliokoa kofia ya chuma.	Mtu safi aliokoa kofia.
Myahudi aliokoa nguruwe.	Mtu mbaya aliokoa nguruwe.
Myahudi alibadilishana donut.	Mtu mjanja alibadilishana donut.
Myahudi mmoja aliuza friji.	Mtu mwenye utaratibu aliuza friji.
Myahudi mmoja alibadilisha burger.	Mtu mbaya alibadilisha burger.
Myahudi mmoja alitoa pete.	Mtu mbaya sana alitoa pete.
Myahudi alichukia mtu anayemheshimu.	Mtu dhaifu alimchukia mtu aliyempenda.
Myahudi anaweza kumudu kabati.	Mtu mwenye akili anaweza kumudu kabati.
Myahudi anamiliki kitanda.	Mtu mwenye fadhili anamiliki kitanda.
Myahudi alibadilisha zulia.	Mtu dhaifu alibadilisha rug.
Myahudi fulani alimkatiza mtu fulani aliyemfahamu.	Mtu fulani mwenye hila alimkatiza rafiki yake.
Myahudi mmoja alizungumza na mwenyekiti.	Mtu mwenye akili alizungumza na mwenyekiti.
Myahudi anamiliki baraza la mawaziri.	Mtu asiye na uvumilivu ana nyumba yake mwenyewe.
Myahudi alipenda askofu.	Mtu asiye na ucheshi alipenda askofu.
Myahudi alikula pudding.	Mtu mwenye pupa alikula pudding.
Myahudi aliyeitwa msimamizi.	Mtu mwenye pupa aliitwa msimamizi.
Myahudi alikula donut.	Mtu asiye na elimu alikula donut.
Myahudi alimtembelea Waziri Mkuu.	Mtu mwenye hila alimtembelea waziri mkuu.
Myahudi mmoja aliuza kamera.	Mtu dhaifu aliuza kamera.
Myahudi aliangusha gari la aina ya SUV.	Mtu dhaifu aliingia kwenye gari la aina ya SUV.
Myahudi anaweza kumudu gari.	Mtu mkarimu anaweza kumudu gari.
Myahudi fulani alimkatiza mkuu wa kambi.	Mtu mwenye tabia mbaya alimkatiza mkuu.
Myahudi mmoja alimwita mtendaji.	Mtu mbaya sana aliitwa mtendaji.
Myahudi anaweza kumudu mbwa.	Mtu mwenye sura mbaya anaweza kumudu mbwa.
Myahudi alimpenda mama mkwe wake.	Mtu asiye safi alimpenda mkwewe.
Myahudi aliokoa tanuru.	Mtu mwenye akili aliokoa tanuru.
Myahudi anamiliki kiatu.	Mtu mwenye udanganyifu ana kiatu.
Myahudi mmoja alitoa rafu ya vitabu.	Mtu mwenye akili alitoa rafu ya vitabu.
Myahudi anamiliki basi.	Mtu mwenye hekima anamiliki basi.
Myahudi mmoja aliuza vazi.	Mtu asiye na ujuzi aliuza kofia.
Myahudi mmoja aliokoa televisheni.	Mtu asiye na uvumilivu aliokoa televisheni.
Myahudi anaweza kumudu gari la aina ya jipu.	Mtu mwenye ujuzi anaweza kumudu gari la aina ya jeep.
Myahudi anamiliki gari.	Mtu mwenye hila ana gari.
